AU439142,POINT(142.5 -38.5)
AU439143,POINT(143.5 -38.5)
AU439144,POINT(144.5 -38.5)
AU439145,POINT(145.5 -38.5)
AU439146,POINT(146.5 -38.5)
AU439147,POINT(147.5 -38.5)
AU439148,POINT(148.5 -38.5)
AU440143,POINT(143.5 -39.5)
AU440144,POINT(144.5 -39.5)
AU440146,POINT(146.5 -39.5)
AU440147,POINT(147.5 -39.5)
AU440148,POINT(148.5 -39.5)
AU441144,POINT(144.5 -40.5)
AU441145,POINT(145.5 -40.5)
AU441146,POINT(146.5 -40.5)
AU441147,POINT(147.5 -40.5)
AU441148,POINT(148.5 -40.5)
AU442144,POINT(144.49995595 -41.499992)
AU442145,POINT(145.5 -41.5)
AU442146,POINT(146.5 -41.5)
AU442147,POINT(147.5 -41.5)
AU442148,POINT(148.5 -41.5)
AU443145,POINT(145.5 -42.5)
AU443147,POINT(147.5 -42.5)
AU443148,POINT(148.5 -42.5)
AU444145,POINT(145.5 -43.5)
AU444146,POINT(146.5 -43.5)
AU444147,POINT(147.5 -43.5)
AU444148,POINT(148.5000608 -43.5000158)
AU455158,POINT(158.4998932 -54.5000033)
AU4601P0,POINT(110.1744417 -66.29648335)
AU4602P0,POINT(77.8583333 -68.57083335)
AU4605P0,POINT(73.25999995 -53.04)
AU4606P0,POINT(96.86666665 -12.025)
AU4611P1,POINT(155.7227778 -21.1975)
AU4611P2,POINT(155.85305555 -17.40472225)
AU4611P3,POINT(155.3501667 -22.23691665)
AU4611P4,POINT(155.45625 -23.17444445)
AU4612P2,POINT(154.31444445 -20.875)
AU4615P1,POINT(148.39166665 -17.6083333)
AU4615P2,POINT(147.9075 -16.58333335)
AU4616P1,POINT(146.7175 -14.05222225)
AU4616P2,POINT(147.1072222 -15.4808333)
AU4616P3,POINT(149.18541665 -16.9920833)
AU467142,POINT(142.5 -66.5)
AU468062,POINT(62.5 -67.5)
AU468063,POINT(63.500053 -67.49987135)
AU468142,POINT(142.5 -67.5)
AU4XX613,POINT(152.2826389 -19.1701389)
AU4XX617,POINT(149.925 -16.46055555)
AU5004P1,POINT(141.7487712 -12.7396583)
AU5006P0,POINT(140.72009185 -17.4597461)
AU5013P1,POINT(136.40123645 -15.606558)
AU5014P1,POINT(136.4152778 -13.85875)
AU5015P1,POINT(136.367033 -11.561889)
